API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Apr 14 11:00:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:32.5000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.8576 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
JDTDB
   X     Y     Z
*******************************************************************************
$$SOE
 X =-1.450663059717652E+08 Y =-3.723906528166627E+07 Z =-1.842325218951143E+04
2461134.998987269 = A.D. 2026-Apr-04 11:58:32.5000 TDB 
 X =-1.450422796622897E+08 Y =-3.734743544273673E+07 Z =-1.878158907834254E+04
2461135.040653935 = A.D. 2026-Apr-04 12:58:32.5000 TDB 
 X =-1.450181488088811E+08 Y =-3.745571792790438E+07 Z =-1.913337910085917E+04
2461135.082320602 = A.D. 2026-Apr-04 13:58:32.5000 TDB 
 X =-1.449939163726707E+08 Y =-3.756391375730674E+07 Z =-1.947903291168436E+04
2461135.123987269 = A.D. 2026-Apr-04 14:58:32.5000 TDB 
 X =-1.449695827422849E+08 Y =-3.767202514248431E+07 Z =-1.981864933171496E+04
2461135.165653935 = A.D. 2026-Apr-04 15:58:32.5000 TDB 
 X =-1.449451490114979E+08 Y =-3.778005379242893E+07 Z =-2.015240032790974E+04
2461135.207320602 = A.D. 2026-Apr-04 16:58:32.5000 TDB 
 X =-1.449206162319735E+08 Y =-3.788800130682931E+07 Z =-2.048044653647393E+04
2461135.248987269 = A.D. 2026-Apr-04 17:58:32.5000 TDB 
 X =-1.448959854131365E+08 Y =-3.799586917698669E+07 Z =-2.080293055094779E+04
2461135.290653935 = A.D. 2026-Apr-04 18:58:32.5000 TDB 
 X =-1.448712575151101E+08 Y =-3.810365885324830E+07 Z =-2.111999436383322E+04
2461135.332320602 = A.D. 2026-Apr-04 19:58:32.5000 TDB 
 X =-1.448464334407448E+08 Y =-3.821137169293511E+07 Z =-2.143178611309640E+04
2461135.373987269 = A.D. 2026-Apr-04 20:58:32.5000 TDB 
 X =-1.448215140369913E+08 Y =-3.831900895739330E+07 Z =-2.173842512718029E+04
2461135.415653935 = A.D. 2026-Apr-04 21:58:32.5000 TDB 
 X =-1.447965001042866E+08 Y =-3.842657183989447E+07 Z =-2.204004272063263E+04
2461135.457320602 = A.D. 2026-Apr-04 22:58:32.5000 TDB 
 X =-1.447713924104308E+08 Y =-3.853406149378631E+07 Z =-2.233679784091003E+04
2461135.498987269 = A.D. 2026-Apr-04 23:58:32.5000 TDB 
 X =-1.447461917105591E+08 Y =-3.864147901574937E+07 Z =-2.262879823018052E+04
2461135.540653935 = A.D. 2026-Apr-05 00:58:32.5000 TDB 
 X =-1.447208987363969E+08 Y =-3.874882544715466E+07 Z =-2.291612380439788E+04
2461135.582320602 = A.D. 2026-Apr-05 01:58:32.5000 TDB 
 X =-1.446955145401169E+08 Y =-3.885610206251670E+07 Z =-2.319883563898876E+04
2461135.623987269 = A.D. 2026-Apr-05 02:58:32.5000 TDB 
 X =-1.446700469257176E+08 Y =-3.896330523282684E+07 Z =-2.348213540059701E+04
2461135.665653935 = A.D. 2026-Apr-05 03:58:32.5000 TDB 
 X =-1.446444865684951E+08 Y =-3.907044229275551E+07 Z =-2.375945155002549E+04
2461135.707320602 = A.D. 2026-Apr-05 04:58:32.5000 TDB 
 X =-1.446188192545081E+08 Y =-3.917752168450528E+07 Z =-2.402348591180332E+04
2461135.748987269 = A.D. 2026-Apr-05 05:58:32.5000 TDB 
 X =-1.445930752543755E+08 Y =-3.928452735896601E+07 Z =-2.428936610050872E+04
2461135.790653935 = A.D. 2026-Apr-05 06:58:32.5000 TDB 
 X =-1.445672428982328E+08 Y =-3.939146720285406E+07 Z =-2.455113062896766E+04
2461135.832320602 = A.D. 2026-Apr-05 07:58:32.5000 TDB 
 X =-1.445413227872744E+08 Y =-3.949834195910543E+07 Z =-2.480886246061139E+04
2461135.873987269 = A.D. 2026-Apr-05 08:58:32.5000 TDB 
 X =-1.445153155145596E+08 Y =-3.960515233763234E+07 Z =-2.506264194899239E+04
2461135.915653935 = A.D. 2026-Apr-05 09:58:32.5000 TDB 
 X =-1.444892216673394E+08 Y =-3.971189901703985E+07 Z =-2.531254706799053E+04
2461135.957320602 = A.D. 2026-Apr-05 10:58:32.5000 TDB 
 X =-1.444630418294404E+08 Y =-3.981858264618874E+07 Z =-2.555865363591164E+04
2461135.998987269 = A.D. 2026-Apr-05 11:58:32.5000 TDB 
 X =-1.444367765837372E+08 Y =-3.992520384561316E+07 Z =-2.580103553587385E+04
2461136.040653935 = A.D. 2026-Apr-05 12:58:32.5000 TDB 
 X =-1.444104265147519E+08 Y =-4.003176320879601E+07 Z =-2.603976493460126E+04
2461136.082320602 = A.D. 2026-Apr-05 13:58:32.5000 TDB 
 X =-1.443839922114205E+08 Y =-4.013826130330561E+07 Z =-2.627491250233911E+04
2461136.123987269 = A.D. 2026-Apr-05 14:58:32.5000 TDB 
 X =-1.443575464936412E+08 Y =-4.024466563567568E+07 Z =-2.655431664868072E+04
2461136.165653935 = A.D. 2026-Apr-05 15:58:32.5000 TDB 
 X =-1.443309465722637E+08 Y =-4.035104238729383E+07 Z =-2.678326324148849E+04
2461136.207320602 = A.D. 2026-Apr-05 16:58:32.5000 TDB 
 X =-1.443042682442306E+08 Y =-4.045735760380858E+07 Z =-2.701147696130723E+04
2461136.248987269 = A.D. 2026-Apr-05 17:58:32.5000 TDB 
 X =-1.442775081456116E+08 Y =-4.056361358636241E+07 Z =-2.723637266854569E+04
2461136.290653935 = A.D. 2026-Apr-05 18:58:32.5000 TDB 
 X =-1.442506669398308E+08 Y =-4.066981078532301E+07 Z =-2.745801643735357E+04
2461136.332320602 = A.D. 2026-Apr-05 19:58:32.5000 TDB 
 X =-1.442237453185287E+08 Y =-4.077594962876521E+07 Z =-2.767647431635112E+04
2461136.373987269 = A.D. 2026-Apr-05 20:58:32.5000 TDB 
 X =-1.441967440075563E+08 Y =-4.088203052237770E+07 Z =-2.789181264642440E+04
2461136.415653935 = A.D. 2026-Apr-05 21:58:32.5000 TDB 
 X =-1.441696637739488E+08 Y =-4.098805384907502E+07 Z =-2.810409841596149E+04
2461136.457320602 = A.D. 2026-Apr-05 22:58:32.5000 TDB 
 X =-1.441425054341174E+08 Y =-4.109401996824606E+07 Z =-2.831339966365136E+04
2461136.498987269 = A.D. 2026-Apr-05 23:58:32.5000 TDB 
 X =-1.441152698635615E+08 Y =-4.119992921454379E+07 Z =-2.851978594100475E+04
2461136.540653935 = A.D. 2026-Apr-06 00:58:32.5000 TDB 
 X =-1.440879548639148E+08 Y =-4.130578366197369E+07 Z =-2.872789461885020E+04
2461136.582320602 = A.D. 2026-Apr-06 01:58:32.5000 TDB 
 X =-1.440605675460714E+08 Y =-4.141158037921356E+07 Z =-2.892918221883848E+04
2461136.623987269 = A.D. 2026-Apr-06 02:58:32.5000 TDB 
 X =-1.440331060975885E+08 Y =-4.151732106813932E+07 Z =-2.912780716809258E+04
2461136.665653935 = A.D. 2026-Apr-06 03:58:32.5000 TDB 
 X =-1.440055665655546E+08 Y =-4.162300776971126E+07 Z =-2.931571649058163E+04
2461136.707320602 = A.D. 2026-Apr-06 04:58:32.5000 TDB 
