API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 05:39:43 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:32.5000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.8576 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
JDTDB
   X     Y     Z
*******************************************************************************
$$SOE
 X =-1.438556651573025E+08 Y =-4.235517815453699E+07 Z =-3.257963091721199E+04
2461136.998987269 = A.D. 2026-Apr-06 11:58:32.5000 TDB 
 X =-1.438241617438297E+08 Y =-4.245996356449278E+07 Z =-3.258953478602506E+04
2461137.040653935 = A.D. 2026-Apr-06 12:58:32.5000 TDB 
 X =-1.437925720998090E+08 Y =-4.256469864384428E+07 Z =-3.259658569754660E+04
2461137.082320602 = A.D. 2026-Apr-06 13:58:32.5000 TDB 
 X =-1.437608964918122E+08 Y =-4.266938323381658E+07 Z =-3.260078340480849E+04
2461137.123987269 = A.D. 2026-Apr-06 14:58:32.5000 TDB 
 X =-1.437291351871021E+08 Y =-4.277401717761130E+07 Z =-3.260212785080820E+04
2461137.165653935 = A.D. 2026-Apr-06 15:58:32.5000 TDB 
 X =-1.436972884536212E+08 Y =-4.287860032040650E+07 Z =-3.260061916799843E+04
2461137.207320602 = A.D. 2026-Apr-06 16:58:32.5000 TDB 
 X =-1.436653565599802E+08 Y =-4.298313250935650E+07 Z =-3.259625767795555E+04
2461137.248987269 = A.D. 2026-Apr-06 17:58:32.5000 TDB 
 X =-1.436333397754466E+08 Y =-4.308761359359183E+07 Z =-3.258904389087483E+04
2461137.290653935 = A.D. 2026-Apr-06 18:58:32.5000 TDB 
 X =-1.436012383699338E+08 Y =-4.319204342421914E+07 Z =-3.257897850522026E+04
2461137.332320602 = A.D. 2026-Apr-06 19:58:32.5000 TDB 
 X =-1.435690526139903E+08 Y =-4.329642185432103E+07 Z =-3.256606240727566E+04
2461137.373987269 = A.D. 2026-Apr-06 20:58:32.5000 TDB 
 X =-1.435367827787882E+08 Y =-4.340074873895609E+07 Z =-3.255029667073488E+04
2461137.415653935 = A.D. 2026-Apr-06 21:58:32.5000 TDB 
 X =-1.435044291361134E+08 Y =-4.350502393515876E+07 Z =-3.253168255635910E+04
2461137.457320602 = A.D. 2026-Apr-06 22:58:32.5000 TDB 
 X =-1.434719919583541E+08 Y =-4.360924730193931E+07 Z =-3.251022151151113E+04
2461137.498987269 = A.D. 2026-Apr-06 23:58:32.5000 TDB 
 X =-1.434394715184907E+08 Y =-4.371341870028383E+07 Z =-3.248591516981646E+04
2461137.540653935 = A.D. 2026-Apr-07 00:58:32.5000 TDB 
 X =-1.434068680900857E+08 Y =-4.381753799315428E+07 Z =-3.245876535075344E+04
2461137.582320602 = A.D. 2026-Apr-07 01:58:32.5000 TDB 
 X =-1.433741819472730E+08 Y =-4.392160504548849E+07 Z =-3.242877405930497E+04
2461137.623987269 = A.D. 2026-Apr-07 02:58:32.5000 TDB 
 X =-1.433414133647477E+08 Y =-4.402561972420026E+07 Z =-3.239594348555803E+04
2461137.665653935 = A.D. 2026-Apr-07 03:58:32.5000 TDB 
 X =-1.433085626177565E+08 Y =-4.412958189817946E+07 Z =-3.236027600437589E+04
2461137.707320602 = A.D. 2026-Apr-07 04:58:32.5000 TDB 
 X =-1.432756299820874E+08 Y =-4.423349143829221E+07 Z =-3.232177417499945E+04
2461137.748987269 = A.D. 2026-Apr-07 05:58:32.5000 TDB 
 X =-1.432426157340600E+08 Y =-4.433734821738107E+07 Z =-3.228044074073061E+04
2461137.790653935 = A.D. 2026-Apr-07 06:58:32.5000 TDB 
 X =-1.432095201505157E+08 Y =-4.444115211026527E+07 Z =-3.223627862859331E+04
2461137.832320602 = A.D. 2026-Apr-07 07:58:32.5000 TDB 
 X =-1.431763435088084E+08 Y =-4.454490299374102E+07 Z =-3.218929094897211E+04
2461137.873987269 = A.D. 2026-Apr-07 08:58:32.5000 TDB 
 X =-1.431430860867942E+08 Y =-4.464860074658185E+07 Z =-3.213948099531606E+04
2461137.915653935 = A.D. 2026-Apr-07 09:58:32.5000 TDB 
 X =-1.431097481628231E+08 Y =-4.475224524953905E+07 Z =-3.208685224378295E+04
2461137.957320602 = A.D. 2026-Apr-07 10:58:32.5000 TDB 
 X =-1.430763300157284E+08 Y =-4.485583638534202E+07 Z =-3.203140835296176E+04
2461137.998987269 = A.D. 2026-Apr-07 11:58:32.5000 TDB 
 X =-1.430428319248185E+08 Y =-4.495937403869890E+07 Z =-3.197315316355042E+04
2461138.040653935 = A.D. 2026-Apr-07 12:58:32.5000 TDB 
 X =-1.430092541698670E+08 Y =-4.506285809629712E+07 Z =-3.191209069805965E+04
2461138.082320602 = A.D. 2026-Apr-07 13:58:32.5000 TDB 
 X =-1.429755970311043E+08 Y =-4.516628844680402E+07 Z =-3.184822516053729E+04
2461138.123987269 = A.D. 2026-Apr-07 14:58:32.5000 TDB 
 X =-1.429418607892079E+08 Y =-4.526966498086756E+07 Z =-3.178156093628146E+04
2461138.165653935 = A.D. 2026-Apr-07 15:58:32.5000 TDB 
 X =-1.429080457252938E+08 Y =-4.537298759111719E+07 Z =-3.171210259156302E+04
2461138.207320602 = A.D. 2026-Apr-07 16:58:32.5000 TDB 
 X =-1.428741521209079E+08 Y =-4.547625617216457E+07 Z =-3.163985487336293E+04
2461138.248987269 = A.D. 2026-Apr-07 17:58:32.5000 TDB 
 X =-1.428401802580168E+08 Y =-4.557947062060463E+07 Z =-3.156482270913199E+04
2461138.290653935 = A.D. 2026-Apr-07 18:58:32.5000 TDB 
 X =-1.428061304189993E+08 Y =-4.568263083501656E+07 Z =-3.148701120654121E+04
2461138.332320602 = A.D. 2026-Apr-07 19:58:32.5000 TDB 
 X =-1.427720028866378E+08 Y =-4.578573671596479E+07 Z =-3.140642565323971E+04
2461138.373987269 = A.D. 2026-Apr-07 20:58:32.5000 TDB 
 X =-1.427377979441096E+08 Y =-4.588878816600034E+07 Z =-3.132307151661441E+04
2461138.415653935 = A.D. 2026-Apr-07 21:58:32.5000 TDB 
